,author,content
10,林***,医美没有白做哒。宝贝们可以帮我选3张吗？我去发pyq～ ​​​​
11,林***,我每次工作忙的时候，都不会想着搞男人，微博也很少登，懒得看那些吃瓜专注工作学习！该干啥的时候就干啥该努力的时候就努力空闲的时候疯狂的玩 ​​​​
12,林***,工作会使我变丑，每天开开心心的化妆去逛街去买买买才能让我容光焕发 ​​​​
13,林***,花钱和有钱，的确能变漂亮 ​​​​
14,林***,我真的把若即若离 忽冷忽热发挥到极致了让我不舒服了就直接拍拍屁股走人，但如果我对他还有点兴趣，就会继续握在手中管他的呢，我开心最重要 ​​​​
15,林***,po主那儿收藏的‘重口文’慢慢看 ​​​​
16,林***,卧槽傻逼炼铜癖赶紧去死！！！！！//@耽于美色:这是陌生男子和小朋友的聊天记录 ¡评论配图
17,林***,大家都会幸福的不是吗 那些偷偷抹掉的眼泪都会成为前进路上的灯 ​​​​
18,林***,别看你有钱还长得好看，可是你也会失去一些东西，比如烦恼。 ​​​​
19,林***,"吸渣体质的人有一个共同的特点，就是受虐型人格。

她们就喜欢谈那种不太老实的，
然后被渣的遍体鳞伤，
越受虐越享受，
越被渣越上头，
就喜欢那种跌宕起伏的感情，
太平淡的没意思，
对你好的、百依百顺的、太老实的，
反而觉得没有挑战性，
一下子就不喜欢了，
妥妥的吸渣体质。

or面相小哥哥 ​​​​收起全文d"
20,林***,没理还要占三分，得理为什么要饶人 ​​​​
21,林***,粉丝提问：雪雪，突然想到一个问题想问问大家，如果有人给你一个亿，条件是给他生一个小孩，要不要答应呢？ ​​​​
22,林***,"如果是我
如果是我吃烧烤的时候目睹了女生被群殴，如果是我被骚扰，我上去帮忙反而被一群男的打，他们拎起椅子重重的砸向我，他们用脚踢我的脸、踩我的头，他们扯着我的头发用啤酒瓶砸我，导致毁容残疾一辈子的心理阴影。
结果这几个人可以好好的活在这世上，他们唯一后悔的事情大概只有被拍到了证据

愤怒又恐惧，真的太绝望了收起全文d"
23,林***,我说不要当已婚男的小3，男人的评论真的笑了 ​​​​
24,林***,强扭的瓜不甜，但扭下来了我就开心 ​​​​
25,林***,不主动就是不喜欢，不表达就是不喜欢，忽冷忽热就是不喜欢，拒绝恋爱脑！ ​​​​
26,林***,"今天突然发“小三”这个话题
因为发现关注我的大多年纪比较小
感情观还没形成

🎺圈，其实把“钱”看的挺重

成长的道路上，也会遇到各种诱惑

但是就为了那点钱，知三当三，和已婚男缠绵不清
我不赞同，不支持，甚至唾弃
恶心男人，也唾弃女人

不要说跟已婚男，就算男方没结婚，他有对象，那就得保持距离，不要沦陷
再喜欢也要憋在心里收起全文d"
27,林***,"我说实话，我自己的话，碰到已婚男都是有多远就离多远的，
就算他再有钱 再痴情 我也不要不要
把感情扼杀在摇篮里，知道他有另一半就别接触了。（除非有不得已的工作……原因，但也要保持距离）

不过现在很多已婚男装单身出来骗妹妹，不知者肯定无罪的，但是一定哦，在你知道的这一天，一定要立刻马上分手，再爱都要分开收起全文d"
28,林***,今天和一个嫁得很好的姐姐聊天真的需要头脑清醒且步步为营，错了任何一步都没法得到好结果。且，不要自视清高，该主动就主动出击，好货在市场上不流通的，高冷就错过了…… ​​​​
29,林***,看到一句话：先删除的那方确实就是输了，输得彻彻底底，因为内心产生剧烈心里波动的，是你自己。 还真是 ​​​​
30,林***,“你很失败，非常失败，不被爱的那个人才是输家”原配会有多难过，唉 ​​​​
31,林***,大多数男人，谈过漂亮的女朋友，真的无法“向下兼容”的就像女孩子，谈过很富的男人，不会和穷男人去结婚的 ​​​​
32,林***,总体而言剩男有很多是因为经济原因而剩下的 ​​​​
33,林***,你们觉得女孩子过了多少岁 皮肤状态身材状态精神状态 就走下坡路了呢我感觉我今年的各种状态，和前几年比就差了很多很多 ​​​​
34,林***,你真的不刻薄吗？主页里转发的 备忘录里记着的 ，明明都提醒自己不要内耗，少八卦少口舌了。可是你看看你说的那些话，你真的认为自己善良吗？ ​​​​
35,林***,配不上所以得不到，得不到就是得不到，别总说是你自己不想要 ​​​​
36,林***,我觉得直男挺好的，直男就像一张白纸，教他怎么用你想要的方式来爱你，特别好调教 ​​​​
37,林***,婚恋市场就像做生意一样，你不能只想着自己想要什么客户，但却不想想自己的客户到底想要什么，自己能否提供他所需要的 ​​​​
38,林***,成长的代价是把所有的坑都踩一遍 ​​​​
39,林***,如果离别就是结局 那么相遇的意义又是什么呢 ​​​​
40,林***,"笑死
我弟成绩不好

我跟他说：学校里的女孩子都喜欢成绩好的男生，你要好好学习
我弟若有所思🤔
：成绩不代表什么，我有钱就行了呀

……
雷……雷到了我 ​​​​收起全文d"
41,林***,来姨妈了，肚子疼的要命，这个布洛芬颗粒是之前评论区姐妹们推荐的，好用，喝下去很快就不疼了。（虽然有点辣嗓子，但的确好用） ​​​​
42,林***,"同样是生孩子

有的人，孕期有专门的营养食谱，生完有高级月子会所，科学月子餐，中药洗头按摩，产后修复，不用一直弯腰换尿布不会受气……心情也愉悦。

有的人，产后一年忙得崩溃，产假休完就急急忙忙的回去上班赚奶粉钱，想锻炼减肥实在也抽不出时间。

看到抖音上有些男士吐槽自己的老婆怀孕后大变样，放上老婆孕前和孕后的对比
如果这群男人能给自己的老婆大几十万保养，也可以生过像没生过一样，照样精致漂亮

哪个女人想变黄脸婆呐

所谓美女，如果说30岁以前还能靠天生丽质的话，30之后真的是靠钱堆起来的，同样30多的女人从气质，皮肤管理，头发发质，就能一眼看出贫富差距了收起全文d"
43,林***,不用负责就能得到的东西为什么还要进行下一步 ​​​​
44,林***,"粉丝求助‼️

：工作后领导介绍了一个男朋友，对方各方面条件都很好，我们也都很喜欢对方，双方父母也很满意。
但是我心里一直有个疙瘩，就是我当初骗了他说我是chu，当时他问的很突然，我也很慌张地下意识回答了。
我现在真的不知道怎么办比较好。不知道我是去做修复手术，还是坦白说出来，做手术我又很害怕很害怕。麻烦姐妹们给点建议！！收起全文d"
45,林***,我其实到现在没有遇到过一个干吃不胖的类型，（肠道有问题，虽然吃的超级无敌多，而且都是高热量，但也不吸收）身边那些很瘦的瘦子，都是吃得少，吃的慢，而且对食物没啥欲望。一旦吃多了食欲起来了也会胖起来的 ​​​​
46,林***,是不是所有微胖的、胖胖的人，都喜欢瘦一点的另一半呀但那些很瘦很瘦的人，却喜欢有点肉的 ​​​​
47,林***,真的受不了。梨形身材的痛苦，就是每当嚷嚷着：哎太胖了要减肥了。身边的人都会来个白眼说你都那么瘦了还减什么？唉，我的意思是想瘦腿，我的大屁股我的大象腿真的太……但是其他人永远不能理解，反而还觉得你在凡尔赛。 ​​​​
48,林***,你们涂防晒，一定一定要涂脖子，脖子后面要多涂点，我朋友说看到那些脖子黄不拉几，脖子后面都发黑的女生真的倒胃口我拿olay的精华涂脖子的，便宜又美白，效果可以的 ​​​​
49,林***,暂时没找到比枣叔更好吃的欧包 ​​​​
50,林***,打开眼界，别卷大赛道，太难了卷不起来的。找小众的，语言也行写字也行我们国家有好多非物质文化遗产的传承人，就是传承已经不被大家所知道的一些技能文化。教育就是利用信息差，不是你不努力，只是你不知道该努力的方向 ​​​​
51,林***,哈哈，采耳师问我的皮肤为什么这么白这么嫩，我给她推荐了这套身体乳肉眼可见的效果好 ​​​​
52,林***,推迟两天了，接
53,林***,你先别生气，让我想想这事该怎么编 ​​​​
54,林***,普通人能逛超市自由（去超市不用看价格，想拿啥就拿啥）就已经蛮幸福了，不要太焦虑啦 ​​​​
55,林***,粉丝提问：姐姐我好想知道一个问题…谈恋爱期间到底需不需要给男生省钱…真的好纠结虽然我才19 ​​​​
56,林***,男人其实都想找个条件好的女人啊，最好还能给他花钱的那种富婆。长相看的过去就行，当老婆嘛还是得现实点这个女孩子虽然家境一般，但是长相绝美身材很好，干净单纯乖巧，有个安稳的工作，情绪价值提供的很足，特别特别的爱他，在一起经历过一些事情。放在家里当个贤妻良母照顾小孩也还行 ​​​​
57,林***,你不懂，他是我亲手调教出来的，我已经是他人生的一部分了，会永远的扎根在他的精神里 ​​​​
58,林***,可以恋爱不负责吗，可以牵手亲嘴拥抱不公开吗，可以不确定关系但是天天腻在一起吗 ​​​​
59,林***,有的孩子毕业进入社会，父母运用各种人脉资源平台帮助他，买房买车准备彩礼；有的孩子上了大学后，父母永远都是一句话：以后就靠你自己了 ​​​​
60,林***,这辈子觉得最恶心的就是男的哭穷 ​​​​
61,林***,真正对你有害的人，都是你身边靠的近的人、跟你有交往的人。你过得比他好，才能激发他很强的嫉妒心，所以他会害你 ​​​​
62,林***,有些人的恨是没有原因的，他们平庸、没有天分、碌碌无为，于是你的优秀、你的天赋、你的善良和幸福都是原罪。 ​​​​
63,林***,每天开心就会每天漂亮 ​​​​
64,林***,这个世界上其实不存在完全契合的两个灵魂无论是朋友还是恋人，如果你感到和对方天作之合，沟通的非常愉快甚至灵光乍现，那说明你遇到的人是阅历智商情商都在你之上的人而对方又是因为什么会向下对你兼容呢？ ​​​​
65,林***,一些可以认识异性的渠道1：游戏 2：交友软件 3：互联网平台 4：朋友介绍 5：路上认识 6：酒吧 7：职场 8：校园人都是多面性的，你从不同地方认识的男人，他呈现出来的都是不一样的 ​​​​
66,林***,“啊，有你真是太好了！”“我怎么这么幸运遇见了你”“宝贝，我喜欢你送的礼物”“宝贝，我好爱你！” ​​​​
67,林***,特别是跟正在暧昧的男人接触，你要接受他也许会把你俩的聊天记录发到兄弟群里不要低估男人的炫耀心理，和兄弟的八卦能力 ​​​​
68,林***,同个圈子的男性，或者熟人的朋友（无论年纪大小），我都会保持距离，他们转账红包我从来不收，发我信息也回的比较官方 ​​​​
69,林***,如果不将就，就一辈子不将就，别坚守了小半辈子，到头来还不如一开始就凑合，千辛万苦独善其身到35，最后一波直接白搭，图个啥？
70,林***,男人进了体制内后，就跟她分手了，（原因是因为她一直没有上岸）可是这就是现实的常态他的生活有固定保障，而你没有，那么你们的小家庭抗风险能力就会稍低，除非你俩有钱到足以应对各种情况，所以他不愿意为你的风险买单，也可以说他真的不爱你 ​​​​
71,林***,体制内的男生，只会考虑体制内或者家里条件特好的女生 ​​​​
72,林***,恶心你一次的人，难道只会恶心一次吗？ ​​​​
73,林***,我要把它保存在相册，每次想吃的时候就看一看 ​​​​
74,林***,祝你平安  你幸福的话 我会有点难过 ​​​​
75,林***,世界上最不被珍惜的就是无底线的原谅和没有原则的妥协 ​​​​
76,林***,"与小人，点头之交，或者远离就行了，别与之交好，更不要跟着别人的脚步踩ta一脚

1：ta没有做伤害到你利益的事，如果你掺了一脚，下次也许会让你“烦恼”
2：没必要，人的精力总是有限的，往上看，别向下观望
3：交好就更没有必要，说不定哪天就把你拉下水，说不定哪天就把你的私事公之于众，说不定哪天就在你身后放箭重伤

点头之交，足矣收起全文d"
77,林***,不要得罪小人，不要得罪小人，不要得罪小人 ​​​​
78,林***,看到过太多不好的爱情，我从不相信一个人会爱另一个人很久 ​​​​
79,林***,我年纪小的时候真的不喜欢比我小的男生，连同龄的都不喜欢。现在年龄大了，真遇到了，的确有点顶不住啊……谁又能拒绝管你姐姐 姐姐的叫，还有腹肌的小男孩呢，一撒娇我即使是铁石心肠也顶不住啊 ​​​​
80,林***,把用来关注别人生活的精力放到自己要做的事情上，人生轻松了不止一点半点。 ​​​​
81,林***,"你送出的每一份礼物，你给的每一句善意的言论，你说的每一句贴心的祝福，都是有回报的，只是回报大与小的问题

前提是，你做的这些事，一定要给予上位的人，这样才是正向有结果的。

我说过很多次，讨厌八婆讨厌说话不经过大脑讨厌墙头草讨厌尖酸刻薄的人，因为她们永远处于下位……
和下位的人有什么好沟通的，浪费时间。

但是对那些善良的人积极向上的人，我很欣赏。燕雀安知鸿鹄之志收起全文d"
82,林***,"我很喜欢做这种小付出大回报的事情。
就像我说的，我就算养鱼，我都会用心对待每一个人，都会给他们送点小礼物什么的。
也不算对他们好，至少我知道的 条件好的男人，他们都不愿意欠别人，特别是欠女人……假如在他生日的时候你转了他520，他也不会收的，相反，你生日他会转更多

首先得要看是什么样的人，再做什么样的事收起全文d"
83,林***,我懂，我都懂，我就是要冷落你，就是想你难受，就是不回你信息，就是要你胡思乱想，我就是揣着明白装糊涂 ​​​​
84,林***,"投稿：我现在是大学在读，从小到大就一直不缺喜欢我的人，也算是个小小美女。
上大学之后谈了一个恋爱，这个男朋友很抠，身边的朋友也都觉得他配不上我，但我又比较恋爱脑，所以就这样缝缝补补地谈了两年。

就是在最近，我们不断吵架让我有了想彻底分手的想法，再加上看着身边很多表面不如我的女生却在男人身上捞到很多好处（多为非正常关系，指py或者是年龄比她们大很多的男性）让我心里更加不是滋味。

……………………………………………………

早就可以分了，浪费了两年的青春收起全文d"
85,林***,以后你会发现 曾经你以为跨不过去的坎 过去了以后也不过如此 所以我的宝贝 一切朝前看 别不幸福 ​​​​
86,林***,我从小到大都花我爸钱，长大花男人钱一点都不觉得不好意思，我觉得是应该的，我跟他们在一起才是给他们的恩赐 ​​​​
87,林***,对于大多数人来说，离金钱越近，也就离道德越远（普通人的道德观）钱是人性的放大器，财务自由决定思想自由 ​​​​
88,林***,如果有一个好老公，体贴温柔又给钱，那女人不上班，在家打扫卫生 去学校接孩子 去超市买菜做饭，也没关系的，家庭和睦也挺好。就怕有些男的，出去工作了一天，回家认为自己是大爷了，指挥来指挥去，偶尔找个茬出个轨，这时候女的才会觉得一切都不值得 ​​​​
89,林***,"其实三四线城市的，家里条件也不错的女孩子的确挺难找对象的。比上不足比下有余……
会发现体制内的单身女性很多，个个条件都不错，就是没有结婚

一来是圈子比较小，每天两点一线，接触的都是同一批人，中午去商场和同事吃个饭，下午工作完就回家了
交友圈已经固定了。

除非你能认识到不同的人，比如通过各种社交软件，或者认识“交际花”姐妹

你会发现，为什么很多各方面条件不如你的女孩，比如家境不如你、工作不如你，但是长得漂亮的女孩，往往她们认识的有钱人就很多。
因为她们会找机会呀，她们会主动出击呀，会认识很多人，你双休日宅在家撸猫看剧，她们会去各种聚会各种局，社交平台上常常更新自己的美照。收起全文d"
90,林***,"粉丝投稿：
想问一下，我这个条件想找优质一点的男生过分吗？
有什么好渠道去接触优质一点的男性呢？

本人条件：25岁，打扮后很多人口中第一眼美女，我觉得就是普通小美女吧，身材匀称，168，96斤4线城市体制内年薪10w➕，以后可能会涨。自己也有在做一些副业收入。
父母都是国企体制内，父亲中层干部过几年可能会退二线，母亲管理人员。

我就想问问，是我本身就很普通不配找再高一点质量的男生了吗？我想要那种上进一点，有事业心能带我成长的，正常长相男性过分嘛？收起全文d"
91,林***,今年买的第四件衣服很好看，适合夏天，版型很好（这款尺码偏大，买小两个码会比较修身）往期回顾⬇️今年给自己定的目标是五件，只剩一件了 ​​​​
92,林***,护肤是维持，不是逆龄，越年轻越保养越早，衰老就会比同龄人慢很多，一定要有这个意识 ​​​​
93,林***,读书是高贵最低的门槛 ​​​​
94,林***,（很丢脸，有黑号造谣我时，有1个眼熟的粉丝在下面附和。我在几个朋友面前提起这个事儿时没忍住哭了。那个眼熟的id，我以为我们是遥远的朋友。）
95,林***,既然认清了婚姻，明白了各取所需，那就管他外面有谁呢。他长得干净，家庭条件很好，相处舒服就ok，感情这种东西说白了都是虚的，他对你负责 对家庭有担当就行 ​​​​
96,林***,29岁，女，疫情失业了结婚首先要50万彩礼，先把欠债还了其次要房产加名，不怕失业了没地方住再次老公的工资卡要上交，这样每个月就有了固定收入……要求一点都不高，千万别降低自己的要求 ​​​​
97,林***,男粉提问：你好博主，女生看男生 学历 家境 工作 哪个更重要？ ​​​​
98,林***,人也就这么回事儿，越有钱，越有选择的权利。不要看的那么死，看淡一点。有利于自己的才是最好的 ​​​​
99,林***,时间长了，爱都会被柴米油盐消耗掉，80%的人跟谁过都一样。没爱可以在一起，没钱不行 ​​​​
100,林***,有钱确实是非常难得优点 ​​​​
101,林***,有意思 ​​​​
102,林***,从来没见到有富人因为通胀而破产，见到的都是穷人因为理财而变穷 ​​​​
103,林***,确实，图感情都输的一塌涂地，图钱过的风生水起 ​​​​
104,林***,傻逼男越来越少，钱越来越难捞，年纪越来越大不吃香。除了消费能力越来越高，知道哪家吃的高级哪辆车更贵哪个整形医生更好以外，啥都没学到……劝一句，早点上岸，差不多就得了 ​​​​
105,林***,"我刚和男人认识的时候，不会花他什么钱的
吃饭虽然不aa，但也会回请他
一起去邻城玩，自己定自己住的酒店
他送我1w的礼物，我回他6k左右
经常给他点外卖，送他一些必备品

有些男人就会不懂事或者得意忘形，你就可以直接远离了，不要浪费时间，他不会对你付出什么的。一点小钱就能试出来的

但更多的男人会觉得你很不一样，然后就会很“信任”你，觉得你靠谱，钱就会源源不断了。

人都是互相的呀，你精明的要死，男人也能感觉的出来，都不是傻子，而且现在的优质男也被骗过很多次了。

不过low男就算了，小钱都别花他身上，low男容易飘收起全文d"
106,林***,认真的问一下大学生毕业工作以后能拿多少？？看了一圈都是月3k4k的，现实和网络的差距太大了 ​​​​
107,林***,问：可是我对象会花钱 付出行动 看手机都行 小作小闹不哄是什么意思啊答：你对象本身就不会哄人。花钱又付出行动，这不是哄是什么？你要求太高了，既要物质又要甜言蜜语 ，男人不是非得完全低位顺从啊，纯纯的既要又要还要了 ​​​​
108,林***,确实
109,林***,有些人说话不经过大脑，不是真性情，是不够善良的表现，因为他很少考虑别人的感受。以己度人，自己都不爱听的话别人喜欢听吗？ ​​​​
110,林***,投稿我男朋友20了，他妈妈洗澡还喊他搓背，我真的大为震惊且不能理解，但是他认为挺正常的，给自己亲妈搓个背而已，对了他爸妈感情不怎么好，连他第一次遗精都是他妈告诉他的，我真的觉得很离谱不知道怎么和男朋友相处了 ​​​​
111,林***,老公是老公，男朋友是男朋友，有什么问题呢？ ​​​​
112,林***,"女生在什么样的情况下可以接受男方没有房子？

1:工作收入还可以，两个人可以共同努力相互支持
2:男生成为接盘侠
3:男方帅出天际，嘴巴甜如蜜
4:是潜力股，有存款，家里有矿（将来肯定是能买房的）
5:女方自己有房有车，是富婆，能接受男生入赘
6:刚毕业的恋爱脑 ​​​​收起全文d"
113,林***,男人喜欢会打扮的，身材颜值好的，但这些不用花钱的吗？护肤化妆健身都需要钱。而那些为男人省钱的、不怎么花钱的女人，男人们从来不珍惜，因为没付出💰，就没有沉没成本。人性真的很难说，男人被骗钱被捞钱也不冤 ​​​​
114,林***,太喜欢我的宝了，这么拙劣的p图技术也不拆穿我 ​​​​
115,林***,我走得太干脆了 他真的走不出来 ​​​​
116,林***,舔狗其实就是外貌协会，从来没有见过舔狗对丑肥而善良温柔的女人大方花费与一片痴情 ​​​​
117,林***,最近吃瓜有感：尊重他人命运，别人的鸡毛蒜皮关我屁事 ​​​​
118,林***,为了防止老公绿我，我先绿了他，姐妹们，我做的对吗 ​​​​
119,林***,累的不是工作是看不到希望的未来是可见平庸的一生 ​​​​
120,林***,偷吃太正常了，从来没有一个人会永远对另一个人忠诚，要认清人性，别以为你的爱特别，其实都是烂大街一样的剧 ​​​​
121,林***,忠诚是因为他穷 ​​​​
122,林***,没有新欢的出现，感情是不可能无缘无故就消失的，爱情只会转移不会结束。他慢慢冷落你，说明已经有人替代你了 ​​​​
123,林***,不喜欢的人，对自己再怎么好，一点感觉都没有，反而觉得很讨厌 ​​​​
124,林***,可惜我只想搞你的钱，不想搞你 ​​​​
125,林***,情商不高的人，才需要打击别人愉悦自己情商高的，望人好，方自好 ​​​​
126,林***,从小到大过的很顺，爸妈和身边的人都很宠，自己也是个各方面都不错的乖乖女，长大后很容易被诡计多端的穷男人哄骗，清醒点姐妹们。现在就去告诉你的父母和闺蜜，万一有一天恋爱脑了一定要他们不惜代价把你骂清醒 ​​​​
127,林***,现在这个社会对女孩子的美貌要求真的太高了，可能男孩子干净、大方、会穿搭，就不会丑，可女孩子要身材、颜值、五官等等，所以焦虑感随之而来。美貌没有天花板，自信才是万丈光芒 ​​​​
128,林***,喜欢花，喜欢你，喜欢钱，但我更喜欢花你钱 ​​​​
129,林***,宝，能别把咱俩聊天记录发兄弟群吗 ​​​​
130,林***,"人不为己天诛地灭，心疼男人就是伤害自己，女生不管是青春还是名声都比男生重要多了，这就是现实，现实就是大家还处于传统男权思想的那一套。
就这么说吧，现在家里孩子是男生的，不会阻止他们多谈恋爱，因为不吃亏顶多费钱。
家里孩子是女生呢？会很怕女儿被男生忽悠，都会说要擦亮眼睛看准人。
所以不要说啥平衡啥的，纯属扯淡收起全文d"
131,林***,放下助人情节，让那群倒贴女继续倒贴 ​​​​
132,林***,本就很幸运的出生在一个还不错的家庭里，只要稍微努力就能得到一个还不错的人生，可你偏偏纠结在那个低端的男人身上一直出不来，所以你到底图他什么？ ​​​​
133,林***,男人结婚也要趁早，年纪大了钱还没赚到，就芭比Q了，哈哈 ​​​​
134,林***,时常觉得谈恋爱好累啊，一个人生活好舒服 ​​​​
135,林***,没有欲望活着就没意思，越佛系越闲，越闲越颓废。人一定要有特别想要的东西才行 ​​​​
136,林***,哈哈哈哈➡️两位男士的bettle//@wb_Yujianqing:说真的，你只配上个网//@南大王201604:想多了，年入一百不配找保姆和专业人士的
137,林***,"年入100万以上的男人，你们的择偶标准就应该找一个有脑子的女人，能帮你生养孩子教育好孩子，管理好家里的一切，最重要的是能让你的资产去保值。
不要找个“保姆”，因为这是底层人的追求，但你是不需要的。你年入100，已经可以把琐碎的家务交给专业的人打理。

你最大的的精力应该在于孩子的教育、职业的规划、财产的保值。如果你娶到一个拎不清的女人，就完蛋

有趣的小敏收起全文d"
138,林***,我觉得感情里最心酸的男人，不是那种傻乎乎的，一头栽进去的小男生。而是那种明知不可为而为之，清醒着沉沦的男人。这种男人，一点也不傻。其实他都懂，他甚至在一开始就可以预感到你不是对的人。可是没办法，他爱就爱了。明知不可为而为之，是他对这段感情最大的真诚。 ​​​​
139,林***,你去超市，会先吃后付钱吗？ ​​​​
140,林***,啊这……打个九价而已呀 ​​​​
141,林***,爱太沉重了，不要拿爱绑架自己了，你会遇到的，不要在某段感情里纠结自己了 ​​​​
142,林***,他的付出，为了他自己爽=不爱他的付出，为了你爽=爱 ​​​​
143,林***,我就不理解，自己都捞不来什么钱，还能给别人什么好的建议？自己都穷，告诉你怎么去赚钱怎么去工作怎么去规划。自己的感情都没经营好，告诉你应该怎么拿捏男人。我不理解 ​​​​
144,林***,好多大兄弟说我天天发女权，能不能也发点给男人的建议，我让他们去dy看：有趣的小敏，讲的很实在 ​​​​
145,林***,凭运气赚的钱，最好自己存着，合理利用，不要乱花 ​​​​
146,林***,无论对方是什么样的人，他怀疑你，那肯定就是你给的安全感不够。你凡是能多表扬，多肯定他，多给他认可，他都不可能怀疑我就从来不被怀疑 ​​​​
147,林***,人确实很奇怪，突然相爱，突然不爱 ​​​​
148,林***,无论如何，无论是装出来 还是 真情流露，一定要表现的非常上进，以他为榜样。没人会喜欢咸鱼，特别是一事无成的那种 ​​​​
149,林***,当30岁还在为10块打车费纠结，下雨天没人送伞，下班再晚没人询问，你就会明白，爱不爱有什么用，谋生才是体面 ​​​​
150,林***,其实我觉得显示ID问题不大估计因为近期出现太多的键盘侠，他们随手打几个字，让有些人不堪网络暴力而自杀在公共广场上讨论，就是要大家都在明处，而不是躲在某种假面——比如伪造的所在地——后面放暗箭还可以，也只是后缀个省份，问题不大 ​​​​
151,林***,拍照模版6 ​​​​
152,林***,"粉丝投稿：
想听姐妹们分析分析⬇️
我和男朋友在校大学生
他四线城市，爸爸做生意，妈妈体制内。
我县城的，爸妈做生意。
……
每天给我唱高调，说自己家里有钱。但每次出去玩买奶茶喝水都只买一人份，两人共享。
我说谈半年了，给我买个口红，拖了一个月没买，经常哭穷。
但他又能做那些劳力事，洗鞋、做饭、接我…我看不透他，让我一直很纠结。

……………………………………

1：他有地域歧视，他看不起你
2：他装逼，他家也没他说的那么有钱。不然不至于连支300块的口红都拖一个月，也不至于买一人份两人享（除非女方提出喝不完），还哭穷……
3：他觉得你不值得，所以不愿意给你花钱收起全文d"
